trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI_14,DIF,DEA,MACD,BOLL_MID,BOLL_STD,BOLL_UP,BOLL_LOW,BOLL_WIDTH,OBV,OBV_MA20
2026-02-11,688169.SH,151.77,153.7,151.6,152.07,152.29,-0.22,-0.1445,20846.88,318798.394,51.39,-1.2189,-2.0792,1.7206,149.84,4.2013,158.24,141.44,11.21,-57868.829999999696,-156208.0
2026-02-12,688169.SH,152.0,152.91,147.61,148.7,152.07,-3.37,-2.2161,35271.63,525446.897,44.88,-1.239,-1.9112,1.3444,149.46,3.9303,157.32,141.6,10.52,-93140.4599999997,-152702.0
2026-02-13,688169.SH,148.4,149.86,148.01,148.2,148.7,-0.5,-0.3362,20941.56,311687.145,43.99,-1.2805,-1.7851,1.0092,149.12,3.7134,156.55,141.69,9.97,-114082.0199999997,-147107.0
2026-02-24,688169.SH,150.4,152.33,149.3,151.32,148.2,3.12,2.1053,34960.08,528638.568,50.58,-1.0495,-1.6379,1.1768,148.87,3.3448,155.56,142.18,8.99,-79121.9399999997,-142667.0
2026-02-25,688169.SH,152.0,153.2,150.62,150.71,151.32,-0.61,-0.4031,22856.06,346229.017,49.36,-0.9053,-1.4914,1.1722,148.79,3.2755,155.34,142.24,8.8,-101977.9999999997,-136732.0
2026-02-26,688169.SH,150.78,151.38,145.2,145.3,150.71,-5.41,-3.5897,43967.58,645864.595,40.1,-1.2135,-1.4358,0.4446,148.4,3.209,154.82,141.98,8.65,-145945.5799999997,-136212.0
2026-02-27,688169.SH,145.21,145.97,142.6,143.09,145.3,-2.21,-1.521,35799.74,515010.073,37.04,-1.6175,-1.4722,-0.2906,148.07,3.403,154.88,141.26,9.2,-181745.3199999997,-134718.0
2026-03-02,688169.SH,141.66,141.66,138.0,138.72,143.09,-4.37,-3.054,42369.52,591238.16,31.87,-2.2642,-1.6306,-1.2672,147.45,3.905,155.26,139.64,10.59,-224114.83999999968,-137616.0
2026-03-03,688169.SH,139.36,141.37,135.09,135.14,138.72,-3.58,-2.5807,41763.0,575033.305,28.37,-3.0306,-1.9106,-2.24,146.81,4.7728,156.36,137.26,13.01,-265877.8399999997,-139312.0
2026-03-04,688169.SH,134.0,135.19,132.77,133.03,135.14,-2.11,-1.5613,27384.7,365884.528,26.52,-3.7648,-2.2814,-2.9668,146.04,5.6594,157.36,134.72,15.5,-293262.5399999997,-145123.0
2026-03-05,688169.SH,135.09,135.47,133.08,133.82,133.03,0.79,0.5939,24361.35,326158.675,28.4,-4.2342,-2.672,-3.1244,145.51,6.2821,158.07,132.95,17.26,-268901.1899999997,-147144.0
2026-03-06,688169.SH,133.08,135.08,132.77,134.63,133.82,0.81,0.6053,22928.23,307737.782,30.37,-4.4891,-3.0354,-2.9074,145.0,6.7377,158.48,131.52,18.59,-245972.9599999997,-149967.0
2026-03-09,688169.SH,133.02,133.03,128.5,131.2,134.63,-3.43,-2.5477,37689.03,492081.803,26.99,-4.9112,-3.4106,-3.0012,144.43,7.4008,159.23,129.63,20.49,-283661.9899999997,-153012.0
2026-03-10,688169.SH,132.8,134.4,132.13,133.72,131.2,2.52,1.9207,25911.18,345664.25,32.9,-4.9849,-3.7254,-2.519,143.96,7.7762,159.51,128.41,21.6,-257750.8099999997,-156548.0
2026-03-11,688169.SH,133.72,135.67,133.21,134.5,133.72,0.78,0.5833,23645.37,317972.729,34.66,-4.9237,-3.9651,-1.9172,143.43,8.0508,159.53,127.33,22.45,-234105.4399999997,-160608.0
2026-03-12,688169.SH,134.39,135.8,133.13,134.38,134.5,-0.12,-0.0892,38079.97,510640.914,34.51,-4.8291,-4.1379,-1.3824,142.78,8.2396,159.26,126.3,23.08,-272185.4099999997,-168228.0
2026-03-13,688169.SH,133.67,133.79,129.51,132.77,134.38,-1.61,-1.1981,60295.08,791496.44,32.48,-4.8285,-4.276,-1.105,141.83,8.2418,158.31,125.35,23.24,-332480.4899999997,-182013.0
2026-03-16,688169.SH,130.37,131.42,127.6,128.77,132.77,-4.0,-3.0127,59991.63,771558.448,28.06,-5.092,-4.4392,-1.3056,140.7,8.4168,157.53,123.87,23.92,-392472.1199999997,-197187.0
2026-03-17,688169.SH,128.61,130.15,128.6,129.38,128.77,0.61,0.4737,28352.56,367068.054,29.63,-5.1918,-4.5897,-1.2042,139.59,8.3587,156.31,122.87,23.96,-364119.5599999997,-212290.0
2026-03-18,688169.SH,129.0,129.48,127.31,127.79,129.38,-1.59,-1.2289,25989.86,332479.189,27.91,-5.3377,-4.7393,-1.1968,138.36,8.1927,154.75,121.97,23.69,-390109.4199999997,-229945.0
2026-03-19,688169.SH,125.9,127.08,124.77,126.05,127.79,-1.74,-1.3616,34273.19,431114.671,26.13,-5.5299,-4.8974,-1.265,137.06,7.9641,152.99,121.13,23.25,-424382.6099999997,-248271.0
2026-03-20,688169.SH,126.12,128.11,125.41,125.68,126.05,-0.37,-0.2935,25095.64,317688.81,25.76,-5.647,-5.0473,-1.1994,135.91,7.8562,151.62,120.2,23.12,-449478.2499999997,-266087.0
2026-03-23,688169.SH,124.02,124.21,119.4,122.12,125.68,-3.56,-2.8326,50738.95,616948.739,22.41,-5.9584,-5.2296,-1.4576,134.61,7.8733,150.36,118.86,23.4,-500217.1999999997,-285394.0
2026-03-24,688169.SH,122.61,123.5,121.37,123.12,122.12,1.0,0.8189,26723.87,327268.75,25.34,-6.0547,-5.3946,-1.3202,133.2,7.2205,147.64,118.76,21.68,-473493.3299999997,-305113.0
2026-03-25,688169.SH,123.36,125.2,123.0,124.88,123.12,1.76,1.4295,22178.9,275908.075,30.34,-5.9208,-5.4998,-0.842,131.9,6.1543,144.21,119.59,18.67,-451314.4299999997,-322580.0
2026-03-26,688169.SH,125.11,125.79,122.11,122.5,124.88,-2.38,-1.9058,17319.83,214319.363,27.64,-5.9382,-5.5875,-0.7014,130.76,5.6319,142.02,119.5,17.22,-468634.2599999997,-338714.0
2026-03-27,688169.SH,121.4,123.86,121.1,123.24,122.5,0.74,0.6041,19620.16,241193.352,29.73,-5.8252,-5.635,-0.3804,129.77,5.0661,139.9,119.64,15.61,-449014.09999999974,-352077.0
2026-03-30,688169.SH,122.0,123.86,121.26,121.71,123.24,-1.53,-1.2415,23643.99,288906.125,27.94,-5.7923,-5.6665,-0.2516,128.92,4.9103,138.74,119.1,15.23,-472658.08999999973,-364505.0
2026-03-31,688169.SH,122.0,123.0,119.8,119.98,121.71,-1.73,-1.4214,23074.41,279313.841,26.02,-5.8385,-5.7009,-0.2752,128.16,5.0675,138.29,118.02,15.82,-495732.4999999997,-375997.0
2026-04-01,688169.SH,121.3,121.88,119.81,120.56,119.98,0.58,0.4834,27808.78,335993.45,27.81,-5.7619,-5.7131,-0.0976,127.54,5.2025,137.94,117.14,16.31,-467923.71999999974,-384730.0
2026-04-02,688169.SH,120.14,120.48,118.3,118.7,120.56,-1.86,-1.5428,21412.09,255246.38,25.67,-5.7846,-5.7274,-0.1144,126.78,5.3387,137.46,116.1,16.85,-489335.80999999976,-395752.0
2026-04-03,688169.SH,119.18,119.18,114.42,114.8,118.7,-3.9,-3.2856,35655.28,412702.156,21.87,-6.0476,-5.7914,-0.5124,125.79,5.6379,137.07,114.51,17.93,-524991.0899999997,-409703.0
2026-04-07,688169.SH,114.58,115.62,113.65,114.1,114.8,-0.7,-0.6098,26485.69,303113.293,21.26,-6.2405,-5.8813,-0.7184,124.94,6.0558,137.05,112.83,19.39,-551476.7799999997,-423094.0
2026-04-08,688169.SH,117.6,118.89,115.88,118.83,114.1,4.73,4.1455,37873.61,446004.621,34.51,-5.9433,-5.8937,-0.0992,124.19,5.8303,135.85,112.53,18.78,-513603.1699999997,-435886.0
2026-04-09,688169.SH,117.89,117.89,113.98,114.0,118.83,-4.83,-4.0646,43708.08,504518.417,29.12,-6.028,-5.9205,-0.215,123.17,5.724,134.62,111.72,18.59,-557311.2499999997,-452047.0
2026-04-10,688169.SH,114.8,117.67,114.76,115.96,114.0,1.96,1.7193,35123.76,409743.183,33.65,-5.8693,-5.9103,0.082,122.25,5.2905,132.83,111.67,17.31,-522187.48999999964,-464547.0
2026-04-13,688169.SH,115.2,115.55,112.32,112.89,115.96,-3.07,-2.6475,45909.34,520436.067,30.38,-5.9229,-5.9128,-0.0202,121.25,5.0724,131.39,111.11,16.73,-568096.8299999996,-476328.0
2026-04-14,688169.SH,113.98,114.98,112.15,113.42,112.89,0.53,0.4695,42969.08,484659.719,31.62,-5.8552,-5.9013,0.0922,120.49,5.0363,130.56,110.42,16.72,-525127.7499999997,-482960.0
2026-04-15,688169.SH,113.42,115.74,113.2,113.62,113.42,0.2,0.1763,40908.39,468030.196,32.11,-5.7195,-5.8649,0.2908,119.7,4.7987,129.3,110.1,16.04,-484219.35999999964,-488965.0
2026-04-16,688169.SH,113.62,114.77,110.0,111.95,113.62,-1.67,-1.4698,80979.98,905037.845,30.16,-5.6811,-5.8282,0.2942,118.91,4.6989,128.31,109.51,15.81,-565199.3399999996,-497720.0
2026-04-17,688169.SH,111.33,113.49,110.3,111.27,111.95,-0.68,-0.6074,45984.78,514017.394,29.38,-5.6406,-5.7906,0.3,118.17,4.6784,127.53,108.81,15.84,-611184.1199999996,-507060.0
2026-04-20,688169.SH,111.27,122.34,111.0,120.21,111.27,8.94,8.0345,115790.15,1356595.154,48.31,-4.8314,-5.5988,1.5348,117.89,4.3654,126.62,109.16,14.81,-495393.9699999996,-509356.0
2026-04-21,688169.SH,120.21,120.3,116.45,118.55,120.21,-1.66,-1.3809,57595.27,680739.512,45.85,-4.2748,-5.334,2.1184,117.71,4.2551,126.22,109.2,14.46,-552989.2399999996,-511994.0
2026-04-22,688169.SH,117.7,118.02,115.62,116.76,118.55,-1.79,-1.5099,46134.75,537120.711,43.3,-3.9328,-5.0538,2.242,117.4,4.0632,125.53,109.27,13.85,-599123.9899999996,-518276.0
2026-04-23,688169.SH,122.92,124.88,117.84,118.14,116.76,1.38,1.1819,106206.87,1283734.303,45.81,-3.5099,-4.745,2.4702,117.06,3.6703,124.4,109.72,12.54,-492917.11999999965,-520356.0
